"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00004118","Deborah Ann Stabenow (D-Mich)","66003","165000","115501","2006","S","Center for Responsive Politics",""
"N00005656","Joe Barton (R-Texas)","47005","180000","113502","2006","H","Center for Responsive Politics",""
"N00003765","Mike Pence (R-Ind)","54006","161000","107503","2006","H","Center for Responsive Politics",""
"N00000153","Richard E. Neal (D-Mass)","46006","167000","106503","2006","H","Center for Responsive Politics",""
"N00003476","Ron Lewis (R-Ky)","23014","175000","99007","2006","H","Center for Responsive Politics",""
"N00003730","Ted Strickland (D-Ohio)","45003","150000","97501","2006","H","Center for Responsive Politics",""
"N00027890","Michael Arcuri (D-NY)","10004","184999","97501","2006","H","Center for Responsive Politics",""
"N00012942","Betty McCollum (D-Minn)","-1986","186000","92007","2006","H","Center for Responsive Politics",""
"N00007248","Devin Nunes (R-Calif)","52003","130000","91001","2006","H","Center for Responsive Politics",""
"N00003218","Harold E. Ford Jr. (D-Tenn)","22008","155000","88504","2006","H","Center for Responsive Politics",""
"N00004724","Jan Schakowsky (D-Ill)","-34984","210999","88007","2006","H","Center for Responsive Politics",""
"N00004558","Collin C. Peterson (D-Minn)","16003","149999","83001","2006","H","Center for Responsive Politics",""
"N00005407","Richard Baker (R-La)","35002","130000","82501","2006","H","Center for Responsive Politics",""
"N00001261","James T. Walsh (R-NY)","-13989","177999","82005","2006","H","Center for Responsive Politics",""
"N00013744","Diane E. Watson (D-Calif)","31005","117000","74002","2006","H","Center for Responsive Politics",""
"N00002577","John Lewis (D-Ga)","9009","135000","72004","2006","H","Center for Responsive Politics",""
"N00004643","Max Baucus (D-Mont)","-71986","204999","66506","2006","S","Center for Responsive Politics",""
"N00027060","Brian M. Higgins (D-NY)","-30990","163999","66504","2006","H","Center for Responsive Politics",""
"N00025280","Tim Ryan (D-Ohio)","3004","129999","66501","2006","H","Center for Responsive Politics",""
"N00003042","Bud Cramer (D-Ala)","-733995","864997","65501","2006","H","Center for Responsive Politics",""
"N00003350","Gene Taylor (D-Miss)","30002","100000","65001","2006","H","Center for Responsive Politics",""
"N00026087","John R. Kuhl Jr (R-NY)","-114998","244996","64999","2006","H","Center for Responsive Politics",""
"N00006882","Howard P. (Buck) Mckeon (R-Calif)","-41990","170999","64504","2006","H","Center for Responsive Politics",""
"N00009719","Todd Platts (R-Pa)","8009","121000","64504","2006","H","Center for Responsive Politics",""
"N00028133","Douglas L. Lamborn (R-Colo)","21002","95000","58001","2006","H","Center for Responsive Politics",""
"N00027781","Mary Fallin (R-Okla)","18005","96000","57002","2006","H","Center for Responsive Politics",""
"N00008028","Sam Johnson (R-Texas)","18004","95000","56502","2006","H","Center for Responsive Politics",""
"N00012460","William L. Clay Jr. (D-Mo)","18004","95000","56502","2006","H","Center for Responsive Politics",""
"N00002356","Mike McIntyre (D-NC)","18004","95000","56502","2006","H","Center for Responsive Politics",""
"N00002872","Lincoln Diaz-Balart (R-Fla)","-27992","139999","56003","2006","H","Center for Responsive Politics",""
"N00000652","Christopher Shays (R-Conn)","17005","82000","49502","2006","H","Center for Responsive Politics",""
"N00002926","Jim Davis (D-Fla)","17003","80000","48501","2006","H","Center for Responsive Politics",""
"N00005218","Jim Ryun (R-Kan)","17003","80000","48501","2006","H","Center for Responsive Politics",""
"N00024862","Geoff Davis (R-Ky)","-32996","129999","48501","2006","H","Center for Responsive Politics",""
"N99999952","Stephen L. Johnson","6006","90000","48003","2006","E","Center for Responsive Politics",""
"N00001003","Eliot L. Engel (D-NY)","3004","85000","44002","2006","H","Center for Responsive Politics",""
"N00001276","John M. McHugh (R-NY)","5007","77000","41003","2006","H","Center for Responsive Politics",""
"N00001214","Michael R. McNulty (D-NY)","16002","65000","40501","2006","H","Center for Responsive Politics",""
"N00002472","Jim DeMint (R-SC)","16002","65000","40501","2006","S","Center for Responsive Politics",""
"N00001817","C. W. Bill Young (R-Fla)","16002","65000","40501","2006","H","Center for Responsive Politics",""
"N00013345","Steve Israel (D-NY)","-18997","99999","40501","2006","H","Center for Responsive Politics",""
"N00006067","Silvestre Reyes (D-Texas)","16002","65000","40501","2006","H","Center for Responsive Politics",""
"N99999915","Sonia Sotomayor","15001","65000","40000","2006","J","Center for Responsive Politics",""
"N00025093","Brad Miller (D-NC)","-157992","229999","36003","2006","H","Center for Responsive Politics",""
"N00000939","Jerrold Nadler (D-NY)","-30994","95999","32502","2006","H","Center for Responsive Politics",""
"N00005960","Charlie A. Gonzalez (D-Texas)","-34998","99999","32500","2006","H","Center for Responsive Politics",""
"N00009614","Ric Keller (R-Fla)","15001","50000","32500","2006","H","Center for Responsive Politics",""
"N00027644","William T. Sali (R-Idaho)","15001","50000","32500","2006","H","Center for Responsive Politics",""
"N00007089","Joe Baca (D-Calif)","3004","46000","24502","2006","H","Center for Responsive Politics",""
"N00026914","Gwen Moore (D-Wis)","3003","45000","24001","2006","H","Center for Responsive Politics",""
"N00028257","Keith Ellison (D-Minn)","2007","35000","18503","2006","H","Center for Responsive Politics",""
"N00028091","Carol Shea-Porter (D-NH)","2002","30000","16001","2006","H","Center for Responsive Politics",""
"N00026926","Jerry McNerney (D-Calif)","-32997","64999","16001","2006","H","Center for Responsive Politics",""
"N00025292","Rob Bishop (R-Utah)","2002","30000","16001","2006","H","Center for Responsive Politics",""
"N00002713","Corrine Brown (D-Fla)","-13998","45000","15501","2006","H","Center for Responsive Politics",""
"N00026457","Ted Poe (R-Texas)","-27996","51000","11502","2006","H","Center for Responsive Politics",""
"N00024875","Melissa Bean (D-Ill)","-226975","246999","10012","2006","H","Center for Responsive Politics",""
"N00003758","Julia Carson (D-Ind)","1003","17000","9001","2006","H","Center for Responsive Politics",""
"N00003159","Zach Wamp (R-Tenn)","1001","15000","8000","2006","H","Center for Responsive Politics",""
"N00007665","Neil Abercrombie (D-Hawaii)","1001","15000","8000","2006","H","Center for Responsive Politics",""
"N00004029","John Conyers Jr. (D-Mich)","-14999","30000","7500","2006","H","Center for Responsive Politics",""
"N00006425","John Shadegg (R-Ariz)","-164996","169999","2501","2006","H","Center for Responsive Politics",""
"N00006455","J. D. Hayworth (R-Ariz)","0","0","0","2006","H","Center for Responsive Politics",""
"N00007256","Bill Thomas (R-Calif)","0","0","0","2006","H","Center for Responsive Politics",""
"N00008122","Eddie Bernice Johnson (D-Texas)","0","0","0","2006","H","Center for Responsive Politics",""
"N00025464","Rodney Alexander (R-La)","0","0","0","2006","H","Center for Responsive Politics",""
"N00004887","Bobby L. Rush (D-Ill)","0","0","0","2006","H","Center for Responsive Politics",""
"N00001813","Jose E. Serrano (D-NY)","0","0","0","2006","H","Center for Responsive Politics",""
"N00001074","Major R. Owens (D-NY)","0","0","0","2006","H","Center for Responsive Politics",""
"N00001082","Edolphus Towns (D-NY)","0","0","0","2006","H","Center for Responsive Politics",""
"N00001171","Gregory W. Meeks (D-NY)","0","0","0","2006","H","Center for Responsive Politics",""
"N00001849","Albert R. Wynn (D-Md)","-13999","5000","-4499","2006","H","Center for Responsive Politics",""
"N00001669","Joseph R. Biden Jr. (D-Del)","-302980","277997","-12491","2006","S","Center for Responsive Politics",""
"N00025337","Mario Diaz-Balart (R-Fla)","-164999","139999","-12500","2006","H","Center for Responsive Politics",""
"N00006052","Mac Thornberry (R-Texas)","-197997","164998","-16499","2006","H","Center for Responsive Politics",""
"N00003532","Bob Ney (R-Ohio)","-29999","-19000","-24499","2006","H","Center for Responsive Politics",""
"N00002511","Cynthia A. McKinney (D-Ga)","-50000","-15001","-32500","2006","H","Center for Responsive Politics",""
"N00027566","Chris Murphy (D-Conn)","-50000","-15001","-32500","2006","H","Center for Responsive Politics",""
"N00028234","Philip G. Hare (D-Ill)","-50000","-15001","-32500","2006","H","Center for Responsive Politics",""
"N00003897","John Hostettler (R-Ind)","-147997","69996","-39000","2006","H","Center for Responsive Politics",""
"N00001102","Nydia M. Velazquez (D-NY)","-4098997","4004998","-46999","2006","H","Center for Responsive Politics",""
"N00007632","Eni F. H. Faleomavaega (D-AS)","-455985","351996","-51994","2006","H","Center for Responsive Politics",""
"N00027594","Patrick J. Murphy (D-Pa)","-147995","26997","-60499","2006","H","Center for Responsive Politics",""
"N00002905","Robert Wexler (D-Fla)","-100000","-50001","-75000","2006","H","Center for Responsive Politics",""
"N00001535","Curt Weldon (R-Pa)","-162997","-44002","-103499","2006","H","Center for Responsive Politics",""
"N00024773","Stephanie Herseth (D-So Dak)","-198999","-65003","-132001","2006","H","Center for Responsive Politics",""
"N00026425","Connie Mack (R-Fla)","-749999","399998","-175000","2006","H","Center for Responsive Politics",""
"N00026163","Lynn A. Westmoreland (R-Ga)","-4832995","4429995","-201500","2006","H","Center for Responsive Politics",""
"N00009570","Artur Davis (D-Ala)","-350000","-130003","-240001","2006","H","Center for Responsive Politics",""
"N00026148","Louis B Gohmert, Jr (R-Texas)","-350000","-150002","-250001","2006","H","Center for Responsive Politics",""
"N00027467","Timothy J. Walz (D-Minn)","-642991","-85004","-363997","2006","H","Center for Responsive Politics",""
"N00004196","Bart Stupak (D-Mich)","-1116991","-130003","-623497","2006","H","Center for Responsive Politics",""
"N00005892","Tom DeLay (R-Texas)","-1434996","-559003","-996999","2006","H","Center for Responsive Politics",""
"N00027441","Bob Corker (R-Tenn)","-94779528","91243987","-1767770","2006","S","Center for Responsive Politics",""
"N00002884","Alcee L. Hastings (D-Fla)","-7348999","-2115006","-4732002","2006","H","Center for Responsive Politics",""
